task,family,arm,budget,repeat,status,found,candidates_evaluated,search_depth,graph_steps,cpu_seconds,wall_seconds,hidden_checked,hidden_failures,success
products/selected_double_sum,selected_double_sum,baseline,150000,0,step_budget,,14,2,150000,0.5738639999999862,0.5803765830000032,0,0,False
products/selected_double_sum,selected_double_sum,reuse_a,150000,0,step_budget,,13,2,150000,0.586385000000007,0.5955158330000074,0,0,False
products/selected_double_sum,selected_double_sum,reuse_a,150000,1,step_budget,,13,2,150000,0.5971770000000163,0.6099009589999866,0,0,False
products/selected_double_sum,selected_double_sum,baseline,150000,1,step_budget,,14,2,150000,0.5969849999999894,0.6068071659999816,0,0,False
products/selected_double_sum,selected_double_sum,reuse_ab,150000,1,found,['bench_learned_doubled_selected_sum'],8,1,106195,0.3497989999999902,0.35569379200001094,40,0,True
products/selected_double_sum,selected_double_sum,reuse_ab,450000,0,found,['bench_learned_doubled_selected_sum'],8,1,106195,0.35536899999999605,0.36034916700000963,40,0,True
products/selected_double_sum,selected_double_sum,baseline,450000,0,step_budget,,35,2,450000,1.5441230000000132,1.569102541999996,0,0,False
products/selected_double_sum,selected_double_sum,reuse_a,450000,0,step_budget,,36,2,450000,1.5646150000000034,1.5958151250000014,0,0,False
products/selected_double_sum,selected_double_sum,reuse_a,450000,1,step_budget,,36,2,450000,1.5489200000000096,1.5671414170000162,0,0,False
products/selected_double_sum,selected_double_sum,baseline,450000,1,step_budget,,35,2,450000,1.4835620000000063,1.5000887500000033,0,0,False
products/selected_double_sum,selected_double_sum,reuse_ab,450000,1,found,['bench_learned_doubled_selected_sum'],8,1,106195,0.3426120000000026,0.34746050000001105,40,0,True
products/selected_double_sum,selected_double_sum,reuse_ab,1350000,0,found,['bench_learned_doubled_selected_sum'],8,1,106195,0.3360139999999774,0.3390896670000245,40,0,True
products/selected_double_sum,selected_double_sum,baseline,1350000,0,step_budget,,88,3,1350000,4.107970999999992,4.156878791999986,0,0,False
products/selected_double_sum,selected_double_sum,reuse_a,1350000,0,found,"['bench_learned_selected_sum', 'bench_double']",54,2,704286,2.2871540000000152,2.306386666999998,40,0,True
products/selected_double_sum,selected_double_sum,reuse_a,1350000,1,found,"['bench_learned_selected_sum', 'bench_double']",54,2,704286,2.305878000000007,2.3330524160000152,40,0,True
products/selected_double_sum,selected_double_sum,baseline,1350000,1,step_budget,,88,3,1350000,4.045010999999988,4.080275499999999,0,0,False
products/selected_double_sum,selected_double_sum,reuse_ab,1350000,1,found,['bench_learned_doubled_selected_sum'],8,1,106195,0.3445090000000164,0.3491277079999975,40,0,True
products/selected_negative_double_sum,selected_negative_double_sum,baseline,150000,0,step_budget,,14,2,150000,0.5902109999999823,0.5981979999999965,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,reuse_a,150000,0,step_budget,,13,2,150000,0.5449909999999818,0.5494921250000004,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,reuse_ab,150000,0,step_budget,,10,2,150000,0.4715810000000147,0.47586037500002476,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,reuse_ab,150000,1,step_budget,,10,2,150000,0.48103399999999397,0.4861940830000151,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,reuse_a,150000,1,step_budget,,13,2,150000,0.5617829999999913,0.5674897499999929,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,baseline,150000,1,step_budget,,14,2,150000,0.561963999999989,0.5661433750000242,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,baseline,450000,0,step_budget,,35,2,450000,1.4969490000000008,1.5122521250000034,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,reuse_a,450000,0,step_budget,,36,2,450000,1.5578250000000082,1.5750724170000012,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,reuse_ab,450000,0,step_budget,,25,2,450000,1.316551000000004,1.3462915420000172,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,reuse_ab,450000,1,step_budget,,25,2,450000,1.3413960000000031,1.3862012499999992,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,reuse_a,450000,1,step_budget,,36,2,450000,1.622005999999999,1.6545296250000092,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,baseline,450000,1,step_budget,,35,2,450000,1.5251949999999965,1.5417053750000207,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,baseline,1350000,0,step_budget,,88,3,1350000,4.113641999999999,4.156424541999996,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,reuse_a,1350000,0,step_budget,,93,3,1350000,4.277109999999993,4.324679416999999,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,reuse_ab,1350000,0,step_budget,,60,2,1350000,3.3440289999999777,3.3902199590000066,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,reuse_ab,1350000,1,step_budget,,60,2,1350000,3.2967909999999847,3.332455167000006,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,reuse_a,1350000,1,step_budget,,93,3,1350000,4.359679999999997,4.446396541000013,0,0,False
products/selected_negative_double_sum,selected_negative_double_sum,baseline,1350000,1,step_budget,,88,3,1350000,4.286849999999987,4.37225991599999,0,0,False
products/plain_sum,plain_sum,reuse_a,150000,0,found,['synth_sum'],1,1,9585,0.03599900000000389,0.03642400000001089,40,0,True
products/plain_sum,plain_sum,reuse_ab,150000,0,found,['synth_sum'],1,1,9731,0.03652500000001169,0.03695791699999518,40,0,True
products/plain_sum,plain_sum,baseline,150000,0,found,['synth_sum'],1,1,9590,0.03623300000000995,0.03677849999999694,40,0,True
products/plain_sum,plain_sum,baseline,150000,1,found,['synth_sum'],1,1,9590,0.03568799999999328,0.03592866599998956,40,0,True
products/plain_sum,plain_sum,reuse_ab,150000,1,found,['synth_sum'],1,1,9731,0.03519499999998743,0.03547412500000746,40,0,True
products/plain_sum,plain_sum,reuse_a,150000,1,found,['synth_sum'],1,1,9585,0.046040000000004966,0.046454750000009426,40,0,True
products/plain_sum,plain_sum,reuse_a,450000,0,found,['synth_sum'],1,1,9585,0.034609999999986485,0.034782833000008395,40,0,True
products/plain_sum,plain_sum,reuse_ab,450000,0,found,['synth_sum'],1,1,9731,0.052993999999984,0.07543729199997529,40,0,True
products/plain_sum,plain_sum,baseline,450000,0,found,['synth_sum'],1,1,9590,0.04518500000000358,0.055197458999998616,40,0,True
products/plain_sum,plain_sum,baseline,450000,1,found,['synth_sum'],1,1,9590,0.050600000000002865,0.052055625000008376,40,0,True
